"Name","Team","ISO","BABIP","GB/FB","wOBA","wRC+","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","SwStr%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","EV","LA","Barrel%","HardHit%","WAR","playerid"
"Sam Hilliard","Rockies",".229",".281","1.41",".301","71","31.8%","68.0%","46.5%","48.4%","73.5%","63.3%","17.1%","49.2%","31.7%","19.0%","23.8%","39.7%","36.5%","88.3","10.8","9.5%","44.4%","0.2","17954"
"Kevin Kiermaier","Rays",".145",".290","2.84",".301","93","28.6%","72.5%","46.2%","54.5%","81.6%","71.5%","13.2%","44.8%","37.5%","17.7%","18.8%","49.0%","32.3%","87.7","-0.4","6.3%","41.7%","1.3","11038"
"Manuel Margot","Rays",".083",".317","1.41",".301","92","32.7%","64.4%","46.3%","67.9%","83.9%","77.4%","10.5%","56.2%","29.8%","14.0%","14.9%","56.2%","28.9%","89.4","7.5","4.1%","33.9%","0.6","14712"
"Jose Trevino","Rangers",".184",".279","1.18",".300","79","31.6%","55.6%","41.9%","69.6%","87.8%","80.0%","8.4%","37.5%","34.4%","28.1%","18.8%","43.8%","37.5%","87.9","10.1","12.5%","40.6%","0.2","16725"
"Danny Jansen","Blue Jays",".175",".190","0.91",".300","89","25.2%","73.5%","44.3%","64.4%","84.9%","77.9%","9.8%","33.3%","40.9%","25.8%","17.2%","61.3%","21.5%","85.1","16.4","8.6%","35.5%","0.4","16535"
"Todd Frazier","- - -",".146",".297","0.78",".300","82","29.6%","64.7%","43.5%","63.3%","85.2%","76.2%","10.3%","42.6%","40.9%","16.5%","20.0%","50.4%","29.6%","87.8","20.5","5.2%","31.3%","-0.1","785"
"Marcus Semien","Athletics",".152",".260","0.71",".299","91","24.3%","70.5%","44.0%","68.6%","83.4%","78.8%","9.3%","43.5%","32.9%","23.6%","23.0%","49.1%","28.0%","86.2","19.3","5.0%","28.6%","1.2","12533"
"Howie Kendrick","Nationals",".110",".311","2.00",".298","82","38.8%","65.1%","50.4%","66.3%","93.6%","81.9%","9.1%","32.9%","43.4%","23.7%","15.8%","46.1%","38.2%","88.8","7.3","6.6%","39.5%","-0.3","4229"
"Joc Pederson","Dodgers",".207",".200","1.32",".297","88","31.1%","69.8%","46.7%","58.8%","79.4%","71.2%","13.5%","47.1%","36.8%","16.1%","12.6%","50.6%","36.8%","92.9","12.3","10.2%","44.3%","-0.1","11899"
"Wilson Ramos","Mets",".148",".271","1.79",".297","89","37.7%","79.0%","54.8%","64.1%","85.0%","76.6%","12.9%","31.3%","46.4%","22.3%","19.6%","48.2%","32.1%","89.0","6.5","7.1%","42.0%","0.2","1433"
"Jay Bruce","Phillies",".271",".197","0.85",".297","83","33.3%","83.6%","53.4%","53.0%","84.1%","72.4%","14.7%","51.4%","27.8%","20.8%","13.9%","45.8%","40.3%","89.2","15.7","9.7%","37.5%","-0.1","9892"
"Nick Solak","Rangers",".077",".320","1.43",".297","77","29.2%","63.5%","43.8%","66.7%","91.7%","82.1%","7.8%","35.7%","38.0%","26.3%","14.6%","50.3%","35.1%","89.9","9.4","4.7%","40.4%","-0.4","19294"
"Victor Caratini","Cubs",".086",".321","1.56",".297","84","25.0%","62.9%","39.9%","61.0%","85.8%","76.4%","9.4%","36.5%","44.7%","18.8%","21.2%","48.2%","30.6%","87.9","6.2","3.5%","36.5%","0.2","14968"
"Joey Gallo","Rangers",".197",".240","0.48",".297","77","22.7%","69.8%","43.6%","42.1%","72.3%","63.5%","15.9%","49.1%","28.1%","22.8%","13.2%","45.6%","41.2%","91.2","26.8","14.0%","43.9%","0.8","14128"
"Paul DeJong","Cardinals",".099",".340","0.62",".296","86","28.0%","76.5%","48.5%","45.5%","81.9%","69.8%","14.7%","43.4%","34.0%","22.6%","15.1%","46.2%","38.7%","89.2","21.7","7.5%","40.6%","0.6","18015"
"Tucker Barnhart","Reds",".184",".231","0.76",".296","80","25.9%","67.8%","42.9%","61.2%","85.0%","76.5%","10.1%","44.3%","31.4%","24.3%","20.0%","52.9%","27.1%","85.4","19.7","7.1%","18.6%","0.8","10200"
"Joe Panik","Blue Jays",".075",".283","1.63",".296","86","21.4%","65.3%","38.9%","65.2%","90.6%","82.2%","6.9%","44.1%","33.3%","22.6%","12.9%","52.7%","34.4%","87.5","9.3","1.1%","33.3%","0.3","11936"
"Avisail Garcia","Brewers",".088",".315","1.78",".296","81","38.8%","78.7%","54.6%","52.9%","78.7%","67.6%","17.7%","38.6%","34.8%","26.5%","16.7%","56.1%","27.3%","87.4","8.7","3.8%","37.1%","0.7","5760"
"Jason Castro","- - -",".188",".289","0.63",".294","86","25.8%","64.2%","42.1%","60.0%","69.4%","66.1%","14.3%","36.2%","36.2%","27.7%","6.4%","42.6%","51.1%","92.7","19.7","14.9%","55.3%","0.3","8722"
"Jordan Luplow","Indians",".167",".224","0.68",".293","80","24.7%","71.6%","43.0%","71.7%","89.2%","83.0%","7.3%","41.7%","28.3%","30.0%","28.3%","43.3%","28.3%","83.5","24.7","6.7%","25.0%","0.3","16424"
"Matt Carpenter","Cardinals",".129",".250","0.97",".293","84","22.9%","62.0%","39.0%","47.5%","79.8%","68.6%","12.2%","55.4%","26.1%","18.5%","6.5%","53.3%","40.2%","88.2","17.0","9.8%","35.9%","0.3","8090"
"Jake Cave","Twins",".168",".323","2.00",".293","82","34.3%","67.7%","47.4%","47.6%","76.9%","64.0%","17.1%","37.7%","34.8%","27.5%","13.0%","52.2%","34.8%","87.4","8.5","4.3%","39.1%","0.5","14477"
"Austin Meadows","Rays",".167",".288","0.49",".292","86","31.8%","67.8%","46.1%","61.1%","81.4%","72.9%","12.5%","44.0%","36.9%","19.0%","15.5%","47.6%","36.9%","90.3","24.2","7.1%","44.0%","-0.2","15672"
"Luis Garcia","Nationals",".090",".340","3.71",".291","77","35.5%","72.9%","49.7%","61.3%","81.4%","72.5%","13.7%","41.0%","26.7%","32.4%","26.7%","47.6%","25.7%","83.4","-2.8","4.8%","28.6%","-0.4","20391"
"Jonathan Arauz","Red Sox",".069",".340","2.20",".291","78","30.6%","56.4%","42.1%","63.2%","90.5%","79.4%","8.7%","49.0%","33.3%","17.6%","15.7%","52.9%","31.4%","85.6","9.4","0.0%","25.5%","0.0","20275"
"Adam Frazier","Pirates",".134",".246","1.25",".291","81","27.5%","71.0%","45.8%","74.5%","90.5%","84.9%","6.9%","34.9%","35.4%","29.7%","18.3%","56.6%","25.1%","85.5","12.3","4.0%","25.1%","0.6","15223"
"Yadier Molina","Cardinals",".097",".281","1.15",".290","82","42.7%","73.6%","54.9%","66.0%","88.9%","78.1%","12.0%","43.7%","37.3%","19.0%","19.0%","55.6%","25.4%","84.7","12.3","2.4%","25.4%","0.5","7007"
"Shohei Ohtani","Angels",".176",".229","1.50",".290","84","28.3%","67.0%","44.8%","59.2%","76.8%","70.4%","13.3%","45.6%","34.0%","20.4%","19.4%","45.6%","35.0%","89.1","9.2","10.7%","42.7%","0.1","19755"
"Enrique Hernandez","Dodgers",".180",".260","1.02",".290","83","32.7%","70.8%","49.8%","64.0%","87.6%","79.1%","10.4%","42.2%","31.2%","26.6%","22.0%","44.0%","33.9%","88.5","16.2","7.3%","43.1%","-0.1","10472"
"J.D. Martinez","Red Sox",".175",".259","0.81",".290","77","34.2%","77.2%","51.9%","58.0%","83.5%","73.6%","13.7%","37.0%","40.3%","22.7%","11.0%","53.2%","35.7%","89.5","14.7","11.0%","41.6%","-1.0","6184"
"Garrett Hampson","Rockies",".150",".330","0.92",".290","64","24.6%","64.2%","42.5%","49.0%","83.9%","72.9%","11.5%","40.5%","36.0%","23.4%","12.6%","61.3%","26.1%","86.3","14.4","8.1%","22.5%","0.0","19262"
"Jorge Polanco","Twins",".096",".292","0.91",".289","80","27.6%","65.3%","43.6%","73.4%","90.8%","84.5%","6.8%","36.7%","33.9%","29.4%","23.2%","52.5%","24.3%","86.6","16.1","2.8%","32.8%","0.8","13152"
"Adam Eaton","Nationals",".157",".260","1.76",".287","75","36.5%","68.6%","49.8%","73.6%","94.8%","85.7%","7.1%","29.8%","35.9%","34.4%","17.6%","51.9%","30.5%","87.8","5.7","4.6%","38.2%","-0.5","11205"
"Jose Marmolejos","Mariners",".206",".232","1.14",".287","84","31.8%","62.4%","44.4%","42.9%","84.5%","67.0%","14.7%","41.3%","41.3%","17.3%","14.7%","48.0%","37.3%","90.5","10.5","12.0%","45.3%","-0.3","15767"
"Daulton Varsho","Diamondbacks",".178",".246","0.93",".287","76","30.9%","65.5%","45.8%","53.2%","81.9%","70.9%","13.3%","36.8%","42.6%","20.6%","16.2%","55.9%","27.9%","86.2","18.4","4.4%","38.2%","0.2","19918"
"Michael A. Taylor","Nationals",".228",".217","1.08",".287","75","25.6%","74.7%","47.8%","56.4%","78.2%","71.8%","13.5%","38.5%","38.5%","23.1%","12.3%","61.5%","26.2%","89.0","12.5","13.8%","36.9%","-0.3","11489"
"Josh Bell","Pirates",".138",".273","2.17",".286","78","30.5%","71.9%","46.0%","58.5%","77.0%","69.3%","14.1%","38.6%","37.1%","24.3%","10.7%","47.9%","41.4%","91.7","5.9","8.6%","42.9%","-0.4","13145"
"Mike Tauchman","Yankees",".063",".329","1.45",".286","79","26.4%","70.9%","45.0%","63.9%","79.9%","74.4%","11.5%","21.4%","37.1%","41.4%","22.9%","50.0%","27.1%","84.9","10.6","1.4%","24.3%","-0.2","15274"
"Kris Bryant","Cubs",".145",".264","0.83",".285","76","30.3%","73.3%","47.5%","53.2%","84.1%","72.3%","13.2%","40.7%","39.6%","19.8%","17.6%","51.6%","30.8%","86.1","20.7","5.5%","31.9%","0.5","15429"
"Danny Mendick","White Sox",".140",".288","1.71",".285","80","27.8%","59.2%","42.1%","67.6%","82.5%","77.2%","9.6%","28.9%","36.1%","34.9%","20.5%","57.8%","21.7%","86.2","7.4","2.4%","31.3%","0.3","18889"
"Khris Davis","Athletics",".129",".259","0.73",".284","81","35.3%","76.3%","53.5%","51.3%","76.3%","67.1%","17.6%","33.3%","35.0%","31.7%","16.7%","55.0%","28.3%","87.7","18.9","8.3%","30.0%","-0.3","9112"
"Tommy Pham","Padres",".101",".253","2.55",".284","78","21.0%","62.3%","38.2%","59.0%","82.9%","75.3%","9.4%","48.8%","32.9%","18.3%","13.4%","39.0%","47.6%","92.8","2.4","7.3%","50.0%","-0.1","2967"
"Albert Pujols","Angels",".171",".230","0.98",".282","79","39.6%","63.8%","49.2%","69.1%","89.8%","79.7%","10.0%","53.1%","26.6%","20.3%","18.8%","50.8%","30.5%","88.6","16.4","5.5%","33.6%","-0.1","1177"
"Jake Lamb","- - -",".159",".233","0.88",".281","77","29.7%","64.5%","43.6%","61.0%","83.8%","74.5%","11.1%","38.1%","44.4%","17.5%","14.3%","41.3%","44.4%","90.2","16.7","7.9%","50.8%","-0.1","13329"
"Yuli Gurriel","Astros",".152",".235","0.90",".281","79","37.8%","65.9%","48.8%","76.9%","94.6%","86.2%","6.7%","34.9%","37.6%","27.5%","14.8%","49.2%","36.0%","89.3","13.9","3.7%","35.4%","-0.1","19198"
"Delino DeShields","Indians",".065",".346","2.11",".280","71","27.3%","68.1%","44.4%","56.3%","82.0%","72.9%","12.1%","35.4%","31.7%","32.9%","13.4%","64.6%","22.0%","84.0","5.8","1.2%","19.5%","0.1","11379"
"Carson Kelly","Diamondbacks",".164",".250","1.08",".279","71","27.0%","65.2%","45.7%","67.1%","82.0%","77.5%","10.3%","47.3%","30.1%","22.6%","11.8%","52.7%","35.5%","86.3","16.7","4.3%","34.4%","0.3","13620"
"Tim Lopes","Mariners",".126",".299","2.04",".279","78","36.5%","77.7%","53.9%","60.0%","78.7%","71.4%","15.4%","35.8%","37.6%","26.6%","21.1%","50.5%","28.4%","87.2","6.5","2.8%","39.4%","-0.1","14137"
"Jose Altuve","Astros",".125",".250","1.66",".278","77","38.2%","68.4%","49.6%","70.2%","89.3%","80.2%","9.8%","41.8%","35.3%","22.9%","15.7%","53.6%","30.7%","86.7","9.3","4.6%","33.3%","0.2","5417"
"Bryan Reynolds","Pirates",".168",".231","1.27",".278","72","31.3%","70.2%","46.6%","58.5%","86.6%","75.1%","11.6%","46.1%","32.8%","21.1%","10.9%","51.6%","37.5%","87.5","10.2","10.1%","38.0%","0.0","19326"
"Hunter Renfroe","Rays",".238",".141","0.88",".277","76","28.9%","60.2%","41.6%","59.2%","79.9%","71.3%","11.9%","46.5%","30.2%","23.3%","20.9%","44.2%","34.9%","89.4","17.3","9.3%","38.4%","-0.4","15464"
"Amed Rosario","Mets",".119",".305","2.17",".277","76","40.3%","65.9%","51.5%","66.4%","86.8%","77.8%","11.5%","36.7%","37.6%","25.7%","18.3%","59.6%","22.0%","86.5","4.2","3.7%","33.0%","0.1","15518"
"Eric Thames","Nationals",".114",".282","1.13",".276","67","35.1%","68.1%","48.4%","57.9%","81.9%","71.5%","13.8%","34.6%","42.0%","23.5%","19.8%","40.7%","39.5%","88.7","14.6","6.2%","46.9%","-0.7","3711"
"Lewis Brinson","Marlins",".142",".288","1.61",".275","73","39.8%","70.5%","52.2%","58.8%","79.5%","70.1%","15.6%","51.3%","36.8%","11.8%","17.1%","53.9%","28.9%","87.8","8.0","7.9%","35.5%","-0.2","14352"
"Edward Olivares","- - -",".135",".290","1.62",".275","70","36.9%","69.9%","50.5%","67.8%","84.5%","77.3%","11.4%","45.8%","36.1%","18.1%","19.4%","55.6%","25.0%","82.7","7.5","5.6%","27.8%","-0.3","19698"
"Alex Gordon","Royals",".098",".246","1.29",".275","69","27.8%","73.2%","47.0%","69.0%","83.6%","78.6%","10.0%","40.5%","42.9%","16.7%","24.6%","53.2%","22.2%","82.8","11.6","3.2%","25.4%","0.3","5209"
"Carter Kieboom","Nationals",".010",".299","1.42",".275","66","29.0%","68.8%","44.4%","54.7%","90.9%","76.5%","10.4%","28.4%","38.8%","32.8%","14.9%","62.7%","22.4%","85.1","11.9","0.0%","20.9%","-0.3","19958"
"Josh Naylor","- - -",".082",".274","2.14",".274","68","33.9%","69.9%","48.4%","76.6%","93.5%","86.4%","6.6%","34.1%","40.0%","25.9%","21.2%","50.6%","28.2%","86.8","7.8","3.5%","33.7%","-0.1","18839"
"Luis Urias","Brewers",".055",".338","3.43",".273","66","29.1%","56.7%","40.6%","74.4%","87.0%","81.7%","7.4%","41.6%","36.4%","22.1%","16.9%","58.4%","24.7%","87.7","2.3","1.3%","27.3%","0.0","16622"
"Stephen Piscotty","Athletics",".132",".304","1.48",".273","73","45.3%","78.2%","58.7%","57.6%","78.1%","68.7%","18.4%","46.3%","29.6%","24.1%","15.7%","44.4%","39.8%","88.1","13.5","6.5%","39.8%","0.4","13367"
"Jose Osuna","Pirates",".192",".207","0.67",".273","69","34.3%","77.2%","51.9%","50.0%","88.8%","73.8%","13.6%","35.5%","35.5%","29.0%","17.7%","51.6%","30.6%","89.1","14.6","12.9%","41.9%","0.0","12937"
"Victor Robles","Nationals",".095",".298","1.03",".273","65","34.2%","70.7%","49.2%","63.8%","80.9%","73.9%","12.8%","50.0%","33.1%","16.9%","22.0%","56.8%","21.2%","82.6","19.4","1.7%","22.0%","-0.5","18363"
"Michael Chavis","Red Sox",".164",".280","1.50",".272","65","35.4%","72.9%","51.6%","44.8%","79.6%","66.0%","17.5%","41.8%","39.8%","18.4%","14.3%","52.0%","33.7%","88.3","10.0","7.1%","37.8%","-0.7","17321"
"Edwin Encarnacion","White Sox",".220",".156","0.64",".272","71","32.0%","65.5%","45.8%","57.7%","75.6%","68.2%","14.5%","49.1%","34.0%","17.0%","22.6%","47.2%","30.2%","85.4","22.8","13.1%","32.7%","-0.3","2151"
"Domingo Santana","Indians",".129",".209","2.70",".271","64","27.8%","72.1%","46.1%","53.7%","83.7%","73.0%","12.4%","51.1%","26.7%","22.2%","24.4%","44.4%","31.1%","85.5","5.4","6.7%","33.3%","0.0","10348"
"Tyler O'Neill","Cardinals",".187",".189","1.05",".271","70","28.8%","70.4%","45.5%","51.4%","77.3%","67.5%","14.8%","45.4%","27.8%","26.8%","13.4%","53.6%","33.0%","88.0","15.1","8.2%","39.2%","0.5","15711"
"Jorge Alfaro","Marlins",".118",".333","1.65",".271","71","49.1%","79.8%","60.2%","42.1%","77.8%","59.2%","24.6%","22.8%","35.1%","42.1%","17.5%","36.8%","45.6%","89.5","2.6","7.0%","49.1%","-0.3","12180"
"Tyler Wade","Yankees",".136",".188","1.05",".271","69","25.2%","60.4%","42.4%","68.6%","90.5%","83.8%","6.9%","41.2%","35.3%","23.5%","19.1%","57.4%","23.5%","86.6","13.5","1.5%","27.9%","0.3","15730"
"Joey Bart","Giants",".087",".387","1.60",".271","70","42.9%","64.4%","51.7%","59.6%","74.6%","67.3%","16.9%","40.3%","38.7%","21.0%","19.4%","40.3%","40.3%","89.0","12.6","4.8%","48.4%","0.1","21524"
"Gary Sanchez","Yankees",".218",".159","0.83",".271","69","31.5%","62.0%","43.8%","50.3%","82.0%","68.4%","13.8%","57.6%","22.8%","19.6%","15.2%","43.5%","41.3%","91.8","19.2","17.4%","50.0%","-0.1","11442"
"Jose Peraza","Red Sox",".117",".258","0.81",".270","63","42.2%","74.8%","55.1%","70.5%","90.2%","81.1%","10.4%","41.5%","39.4%","19.1%","20.2%","47.9%","31.9%","85.4","20.0","4.3%","27.7%","-0.3","13593"
"Marwin Gonzalez","Twins",".109",".241","1.08",".269","66","30.0%","61.3%","42.8%","70.4%","86.6%","79.9%","8.6%","42.0%","37.0%","21.0%","15.2%","58.7%","26.1%","89.2","12.6","5.1%","38.4%","0.2","5497"
"Ryan O'Hearn","Royals",".106",".267","1.40",".269","65","26.0%","66.1%","41.9%","55.7%","81.5%","71.8%","11.8%","40.3%","39.0%","20.8%","10.4%","48.1%","41.6%","90.7","11.9","6.5%","44.2%","-0.4","16442"
"Tyler Naquin","Indians",".165",".275","1.28",".268","62","40.3%","81.2%","57.0%","59.2%","79.8%","71.1%","16.4%","34.7%","38.9%","26.3%","9.5%","52.6%","37.9%","91.7","13.0","9.5%","50.5%","-0.4","13359"
"Nomar Mazara","White Sox",".066",".330","2.09",".267","68","35.4%","64.3%","46.5%","62.4%","86.1%","75.0%","11.6%","33.7%","32.6%","33.7%","10.9%","56.5%","32.6%","91.0","6.7","7.6%","48.9%","0.2","14553"
"Jonathan Villar","- - -",".059",".313","2.82",".266","66","36.8%","74.1%","51.3%","56.9%","81.9%","70.9%","14.9%","39.6%","34.3%","26.1%","23.9%","50.0%","26.1%","86.9","1.5","1.5%","35.1%","-0.3","10071"
"Jorge Bonifacio","Tigers",".105",".288","0.96",".266","64","36.1%","79.5%","53.8%","48.1%","82.5%","68.8%","16.8%","37.7%","26.2%","36.1%","27.9%","50.8%","21.3%","82.9","18.3","3.3%","27.9%","0.0","12174"
"Nico Hoerner","Cubs",".037",".279","2.35",".265","63","31.1%","62.1%","43.6%","67.0%","94.7%","82.9%","7.5%","26.7%","48.8%","24.4%","23.3%","47.7%","29.1%","87.5","0.8","1.1%","35.6%","0.3","21479"
"Justin Smoak","- - -",".185",".219","1.11",".265","62","26.0%","67.8%","43.1%","51.8%","81.2%","70.7%","12.6%","56.4%","26.9%","16.7%","14.1%","41.0%","44.9%","89.6","15.3","3.8%","39.7%","-0.7","9054"
"Dylan Carlson","Cardinals",".164",".260","1.42",".264","65","27.4%","59.4%","40.9%","57.7%","81.3%","72.1%","11.4%","38.2%","38.2%","23.7%","15.8%","48.7%","35.5%","87.4","9.3","9.2%","42.1%","0.2","20126"
"Johan Camargo","Braves",".167",".247","1.40",".262","59","33.5%","71.1%","48.5%","63.6%","72.7%","68.9%","15.1%","47.1%","31.8%","21.2%","17.6%","56.5%","25.9%","87.3","9.8","4.7%","32.9%","-0.2","14950"
"Erik Gonzalez","Pirates",".133",".292","1.62",".262","62","39.0%","74.3%","53.4%","49.7%","85.5%","70.0%","16.0%","34.3%","37.3%","28.4%","17.9%","49.3%","32.8%","88.5","5.5","6.7%","44.0%","0.1","13369"
"Omar Narvaez","Brewers",".093",".254","1.08",".262","59","35.7%","69.6%","48.8%","61.2%","82.6%","73.0%","13.2%","40.6%","36.2%","23.2%","23.2%","56.5%","20.3%","81.6","18.7","7.2%","21.7%","0.5","13338"
"Niko Goodrum","Tigers",".152",".276","0.79",".262","61","31.0%","66.3%","44.5%","45.9%","75.6%","62.9%","16.5%","35.9%","42.4%","21.7%","17.4%","42.4%","40.2%","88.8","16.0","9.8%","40.2%","0.3","12092"
"Evan White","Mariners",".170",".264","1.02",".261","66","28.4%","63.5%","43.8%","45.5%","76.2%","65.0%","15.3%","43.4%","33.3%","23.2%","13.1%","52.5%","34.3%","91.7","13.7","14.1%","52.5%","-0.2","20078"
"Mike Zunino","Rays",".213",".206","0.35",".261","65","32.5%","70.3%","46.9%","54.5%","68.6%","62.6%","17.5%","44.7%","34.2%","21.1%","23.7%","39.5%","36.8%","87.5","27.0","15.8%","36.8%","0.0","13265"
"Sandy Leon","Indians",".106",".163","1.00",".259","56","30.7%","59.6%","41.9%","59.1%","85.2%","73.5%","11.1%","53.3%","24.4%","22.2%","20.0%","48.9%","31.1%","84.9","17.9","4.4%","28.9%","-0.1","5273"
"Daniel Murphy","Rockies",".098",".260","1.16",".259","44","37.1%","72.2%","53.2%","79.6%","93.2%","88.0%","6.4%","35.9%","36.9%","27.2%","14.6%","63.1%","22.3%","85.2","15.5","4.8%","26.0%","-0.9","4316"
"Rougned Odor","Rangers",".246",".157","0.67",".259","51","36.5%","68.7%","49.8%","65.4%","86.4%","77.4%","11.3%","47.3%","32.3%","20.4%","22.6%","46.2%","31.2%","86.0","20.7","11.8%","32.3%","-0.4","12282"
"Eduardo Escobar","Diamondbacks",".123",".244","0.89",".257","56","36.9%","72.2%","51.3%","66.7%","89.1%","79.6%","10.5%","41.5%","36.0%","22.6%","12.2%","57.9%","29.9%","88.6","18.1","5.5%","31.7%","-0.5","6153"
"Ehire Adrianza","Twins",".079",".258","0.96",".257","58","28.8%","68.9%","46.3%","69.7%","92.6%","84.6%","7.1%","33.3%","42.4%","24.2%","10.6%","62.1%","27.3%","85.9","16.0","3.0%","24.2%","-0.1","8418"
"Javier Baez","Cubs",".158",".262","1.55",".256","57","40.6%","73.0%","52.9%","52.0%","74.6%","63.8%","19.1%","46.3%","30.2%","23.5%","17.4%","46.3%","36.2%","89.4","10.3","8.1%","40.3%","0.0","12979"
"Elvis Andrus","Rangers",".136",".200","1.39",".255","48","30.0%","66.5%","46.1%","66.7%","90.1%","81.6%","8.5%","36.4%","42.0%","21.6%","19.3%","46.6%","34.1%","88.5","9.3","5.7%","37.5%","-0.4","8709"
"Isaac Paredes","Tigers",".070",".280","1.50",".255","56","27.9%","61.5%","41.9%","67.1%","96.5%","85.1%","6.2%","44.7%","26.3%","28.9%","22.4%","59.2%","18.4%","86.5","7.5","0.0%","26.3%","0.1","20036"
"Nicky Lopez","Royals",".065",".260","2.88",".254","55","28.1%","66.0%","44.2%","71.1%","86.2%","80.7%","8.5%","42.7%","34.4%","22.9%","22.9%","54.2%","22.9%","84.9","1.4","1.5%","26.7%","-0.2","19339"
"Roman Quinn","Phillies",".102",".313","1.80",".254","54","29.7%","69.3%","49.3%","36.8%","85.9%","71.0%","14.3%","42.9%","34.3%","22.9%","18.6%","60.0%","21.4%","85.9","11.0","2.9%","25.7%","0.1","13546"
"Eric Sogard","Brewers",".070",".242","1.13",".254","54","24.1%","56.0%","37.5%","85.7%","97.4%","93.0%","2.6%","34.4%","31.3%","34.4%","13.5%","66.7%","19.8%","84.4","15.2","0.0%","14.6%","-0.3","7927"
"Brock Holt","- - -",".063",".278","1.57",".253","52","25.2%","63.5%","41.8%","68.2%","89.0%","81.9%","7.6%","30.6%","38.9%","30.6%","19.4%","54.2%","26.4%","83.3","11.2","1.4%","15.3%","0.0","9345"
"Austin Romine","Tigers",".085",".354","1.46",".253","55","39.5%","74.0%","53.6%","59.0%","84.9%","73.7%","14.1%","28.6%","40.5%","31.0%","27.4%","42.9%","29.8%","87.9","7.7","4.8%","47.6%","-0.5","5491"
"Pablo Sandoval","- - -",".048",".262","1.65",".252","57","35.7%","78.4%","53.5%","67.6%","74.1%","71.6%","15.2%","30.3%","48.5%","21.2%","18.2%","39.4%","42.4%","91.9","8.1","3.0%","51.5%","-0.4","5409"
"Kevin Newman","Pirates",".051",".250","1.61",".251","54","29.2%","62.1%","43.4%","73.6%","94.9%","86.8%","5.7%","32.6%","34.8%","32.6%","21.7%","50.7%","27.5%","85.5","8.7","0.7%","27.5%","-0.4","17696"
"Tony Wolters","Rockies",".040",".329","1.56",".249","37","28.9%","61.0%","43.4%","49.2%","87.7%","73.7%","11.4%","41.7%","31.9%","26.4%","12.5%","56.9%","30.6%","84.1","8.2","0.0%","20.8%","-0.6","11470"
"Jose Martinez","- - -",".114",".237","2.27",".248","57","35.1%","59.1%","44.2%","60.5%","85.2%","73.0%","11.9%","37.7%","44.3%","18.0%","14.8%","49.2%","36.1%","87.9","6.2","4.9%","32.8%","-0.5","7996"
"Phillip Ervin","- - -",".041",".212","0.91",".239","48","25.4%","65.8%","41.5%","62.9%","85.8%","77.4%","9.4%","53.8%","30.8%","15.4%","13.5%","69.2%","17.3%","85.4","16.0","0.0%","25.0%","-0.1","14738"
"Shed Long","Mariners",".120",".221","2.43",".238","50","30.2%","62.7%","44.6%","46.4%","77.5%","65.8%","15.3%","32.5%","43.8%","23.8%","21.3%","50.0%","28.8%","87.1","2.6","6.3%","32.5%","0.0","16542"
"Stephen Vogt","Diamondbacks",".111",".204","0.68",".235","42","32.4%","61.7%","45.1%","71.4%","87.8%","81.2%","8.5%","52.7%","29.1%","18.2%","18.2%","54.5%","27.3%","87.3","21.2","3.6%","30.9%","-0.1","5000"
"Abraham Toro","Astros",".126",".164","1.68",".234","46","37.6%","72.4%","52.3%","66.3%","87.6%","78.8%","11.1%","42.2%","31.3%","26.6%","18.8%","53.1%","28.1%","86.1","7.5","3.1%","28.1%","-0.4","19844"
"Cole Tucker","Pirates",".055",".295","1.44",".233","43","30.8%","64.9%","46.0%","52.1%","83.9%","72.1%","12.9%","41.3%","36.3%","22.5%","30.0%","50.0%","20.0%","83.1","13.3","2.5%","25.0%","-0.5","17326"
"Ender Inciarte","Braves",".060",".228","1.31",".233","40","30.8%","66.7%","47.2%","70.0%","84.1%","79.1%","9.9%","46.8%","30.9%","22.3%","26.6%","59.6%","13.8%","78.2","8.4","1.1%","5.3%","-0.6","4922"
"Austin Hedges","- - -",".145",".159","1.00",".232","43","25.9%","59.2%","40.0%","56.0%","89.3%","76.9%","9.3%","50.0%","30.8%","19.2%","15.4%","48.1%","36.5%","90.2","18.6","7.7%","38.5%","-0.1","12976"
"Gregory Polanco","Pirates",".172",".193","0.70",".232","42","38.3%","72.9%","51.0%","47.0%","69.8%","59.0%","20.9%","44.2%","35.8%","20.0%","9.5%","43.2%","47.4%","92.9","20.8","12.5%","51.0%","-0.7","12907"
"Mitch Garver","Twins",".097",".294","1.00",".232","41","18.7%","59.0%","36.1%","34.1%","76.5%","64.0%","13.0%","61.1%","25.0%","13.9%","13.9%","44.4%","41.7%","92.4","18.5","8.3%","50.0%","-0.1","15161"
"Christin Stewart","Tigers",".133",".207","0.61",".230","39","36.6%","72.9%","51.2%","58.8%","76.1%","68.7%","16.0%","41.0%","31.1%","27.9%","16.4%","60.7%","23.0%","85.7","24.5","11.3%","29.0%","-0.3","17714"
"Roberto Perez","Indians",".052",".259","3.70",".228","35","21.1%","52.9%","35.6%","62.5%","76.9%","72.3%","9.9%","33.9%","39.0%","27.1%","27.1%","47.5%","25.4%","86.0","-2.5","3.4%","30.5%","0.1","2900"
